comment_id,video_id,video_title,video_channel,author,author_channel_id,comment_text,comment_length,word_count,is_reply,parent_id,like_count,reply_count,published_date,published_time,day_of_week,hour_of_day,has_emoji,has_url,is_all_caps,exclamation_count,question_count,engagement_rate,sentiment,sentiment_score,emotion,toxicity_score,spam_score
UgwwBJcUgv1FlZGykCp4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@BewareOfDarknesss,UCZ2gdLdx-wL1qyYVMOtbrbw,"I am very grateful to the NFL and the coordinators of Super Bowl LX for presenting performers who support democracy, freedom and human decency. Thank you NFL!",158,27,False,,1,0,2026-02-10,03:11:07,Tuesday,3,False,False,False,1,0,3.6091962319991336e-05,,,,,
UgygDMfHgOnmuMcoaqh4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@ianofazio,UCa5X_oEERDiiAEv04aP-p1A,This is History,15,3,False,,1,0,2026-02-10,01:13:18,Tuesday,1,False,False,False,0,0,3.6091962319991336e-05,,,,,
UgzJI0qwM8AD4vGXTj14AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@tammywhite2186,UCPWjWm_J9ESvr8ixe5Dlv1w,Awesome 💚 Green Day!,20,4,False,,1,0,2026-02-11,01:57:27,Wednesday,1,True,False,False,1,0,3.6091962319991336e-05,,,,,
UgwvCI5YUsemvdWqf9F4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@wildwesley9328,UC0fjiz5ylOTtlDLF1-ETcMw,"The amount of people saying some variation of, “when did Green Day get political?” comments I saw yesterday cracked me up. He’s singing about you",145,25,False,,2,1,2026-02-10,20:25:25,Tuesday,20,True,False,False,0,1,7.218392463998267e-05,,,,,
UgwvCI5YUsemvdWqf9F4AaABAg.AT3JTnomaK-AT3Z-1nLn9P,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@ggsdude1,UCj9fjUWOyLqwNVZ-JgJ7mQA,"The song perfectly outlines just that ""American Idiot"".",55,8,True,UgwvCI5YUsemvdWqf9F4AaABAg,0,0,2026-02-10,22:41:02,Tuesday,22,False,False,False,0,0,0.0,,,,,
Ugy1KVD2dSBWsnYh8E14AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@reredrummer123,UCLLYQ9VncmmKTdsg08g2Kiw,"The crazy part is since American Idiot came out over 20 years ago, it feels like nothing has changed.",101,19,False,,1,0,2026-02-09,21:47:11,Monday,21,False,False,False,0,0,3.6091962319991336e-05,,,,,
Ugyg0HTD7hmnLeG7_1x4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@DJPOT-NOODLE,UC3QD03BGhN348ycHdoCvV8A,When are we getting the full thing,34,7,False,,0,0,2026-02-10,16:41:42,Tuesday,16,False,False,False,0,0,0.0,,,,,
UgyfgJOoP08IHRTe_eJ4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@BrandonKu-y8u,UC--0HJ1VShDyF_zLqjgxAYg,They should of done the half-time.. who is bad bunny..   Green day is legendary and more well known,99,18,False,,1,0,2026-02-10,08:27:40,Tuesday,8,False,False,False,0,0,3.6091962319991336e-05,,,,,
UgxE6h1UkKcysHiZDZx4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@teddyfurstman1997,UCxK-kxqoUWwfn7D3vlVLxgA,Still glad Green Day are still rocking!,39,7,False,,0,0,2026-02-10,00:38:33,Tuesday,0,False,False,False,1,0,0.0,,,,,
UgwQf-2A_ec-KR7q1k94AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@CMStars_Creations,UCgwh4EuffD84pSKKSGmUlhg,"Bad Bunny, Lady Gaga, Ricky Martin, & Green Day! One halftime show I would've loved to have been at in person! Awesome!",119,22,False,,1,0,2026-02-09,20:47:10,Monday,20,False,False,False,3,0,3.6091962319991336e-05,,,,,
UgxVuHn7bONRroImgBt4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@smclean4130,UCtFltXH3qThqbMRglKuULhA,The captions are saying something else. Anyone else see that??,62,10,False,,0,0,2026-02-09,23:31:54,Monday,23,False,False,False,0,2,0.0,,,,,
